@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
74.30,0.00,0.00,0.00,55.03,0.00,0.00,0.00,59.24,0.00,0.00,0.00,0.00,0.00,69.36,100.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45
55.13,0.00,0.00,0.00,59.66,52.84,0.00,64.43,58.04,56.18,0.00,0.00,0.00,0.00,73.73,80.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.50,0.00,0.00,0.00,54.99,270
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45
59.61,0.00,0.00,0.00,0.00,55.22,0.00,51.62,0.00,61.28,0.00,0.00,0.00,0.00,63.83,62.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.47,90
101.39,0.00,0.00,0.00,0.00,0.00,0.00,54.28,0.00,0.00,0.00,0.00,0.00,0.00,55.57,52.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.87,0.00,0.00,0.00,0.00,0.00,0.00,56.42,0
51.57,0.00,0.00,0.00,65.21,0.00,0.00,57.90,0.00,58.21,0.00,0.00,0.00,0.00,86.16,63.53,53.90,57.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
58.37,0.00,0.00,0.00,0.00,54.63,0.00,0.00,0.00,67.89,0.00,0.00,0.00,0.00,52.39,0.00,0.00,56.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.59,0.00,0.00,0.00,54.90,180
84.35,0.00,0.00,0.00,0.00,61.42,0.00,51.43,60.15,66.50,0.00,0.00,0.00,0.00,53.91,55.53,0.00,57.75,0.00,0.00,0.00,58.59,0.00,0.00,56.43,0.00,0.00,60.03,0.00,0.00,0.00,0.00,90
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.45,90
56.93,0.00,0.00,0.00,61.18,60.13,0.00,0.00,70.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90
92.27,0.00,0.00,0.00,0.00,60.68,0.00,0.00,68.15,0.00,0.00,0.00,0.00,0.00,57.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
58.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.14,0.00,0.00,0.00,0.00,0.00,0.00,54.56,59.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.64,66.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270
56.04,0.00,0.00,0.00,0.00,51.25,0.00,0.00,75.87,55.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.00,0.00,0.00,0.00,56.27,57.77,0.00,0.00,69.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.53,53.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270
0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.50,0.00,67.82,0.00,0.00,0.00,0.00,95.00,56.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
53.02,0.00,0.00,0.00,58.30,56.47,0.00,62.01,64.00,61.49,0.00,0.00,0.00,0.00,78.86,110.80,55.78,59.40,0.00,0.00,0.00,64.76,57.20,0.00,54.55,0.00,0.00,51.49,0.00,0.00,0.00,0.00,90
105.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.92,63.75,0.00,0.00,0.00,0.00,89.60,0.00,0.00,54.63,0.00,0.00,0.00,0.00,0.00,0.00,53.45,0.00,0.00,0.00,0.00,0.00,0.00,50.97,270
0.00,0.00,0.00,0.00,0.00,56.70,0.00,52.80,66.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
73.19,0.00,71.52,0.00,65.48,67.02,0.00,64.73,57.80,60.68,0.00,0.00,59.66,0.00,86.39,91.94,0.00,58.82,0.00,0.00,0.00,51.59,0.00,0.00,57.78,0.00,0.00,59.37,0.00,0.00,0.00,55.85,180
0.00,0.00,0.00,0.00,0.00,55.95,0.00,0.00,0.00,63.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225
53.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45
52.42,0.00,0.00,0.00,82.02,0.00,0.00,0.00,53.83,64.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
