@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
43.25,2.95,3.87,2.66,26.33,36.08,0.00,31.18,26.58,39.97,15.59,0.00,0.00,0.00,11.86,6.27,10.38,15.57,0.00,0.00,0.00,10.50,0.00,0.00,10.66,0.00,2.46,9.45,0.00,0.00,0.00,13.39,45
13.13,0.00,0.00,0.00,11.52,10.74,0.00,10.39,12.92,22.58,0.00,0.00,0.00,0.00,6.79,4.64,7.06,10.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,1.68,8.86,0.00,0.00,0.00,12.27,90
13.07,0.00,0.00,0.00,12.76,12.27,0.00,14.01,8.21,19.49,0.00,0.00,0.00,0.00,6.62,2.93,2.62,11.36,0.00,0.00,0.00,0.00,0.00,0.00,3.99,0.00,0.00,4.21,0.00,0.00,0.00,9.09,0
7.81,0.00,0.00,0.00,6.17,9.09,0.00,7.43,5.22,7.42,0.00,0.00,0.00,0.00,2.07,6.03,5.28,10.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.76,0.00,0.00,0.00,10.27,135
34.50,0.00,10.63,3.74,19.51,22.18,0.00,19.45,18.98,27.15,0.00,1580.25,0.00,0.00,6.65,5.64,9.72,16.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,1.02,7.37,0.00,1.17,0.00,13.42,180
20.07,0.00,0.00,0.00,4.98,10.73,0.00,9.28,9.02,15.07,0.00,0.00,0.00,0.00,4.93,32000.00,7.58,13.49,0.00,0.00,0.00,0.00,0.00,0.00,1.71,0.00,1.49,7.71,0.00,0.00,0.00,17.93,90
33.17,1.38,2.31,1.38,10.33,17.71,0.92,15.43,9.94,27.41,0.00,0.00,10666.67,0.83,9.96,10.48,8.91,19.02,0.00,0.00,5.60,4.88,0.00,0.00,4.88,1.22,2.34,11.84,1.22,0.82,0.00,21.61,90
27.37,4.60,2.53,0.00,14.87,19.30,0.00,12.39,9.85,32.49,3.01,1.52,0.00,0.00,5.32,4.87,9.82,22.99,0.00,0.00,0.00,2.48,0.00,0.00,4.21,0.00,3.94,11.02,0.00,0.00,0.00,17.62,90
18.93,21.02,7.70,4.52,9.32,14.07,0.00,20.84,10.02,21.47,0.00,2.34,0.00,0.00,13.38,6.70,16.48,31.69,0.00,0.00,1.72,1.99,0.00,0.00,2.98,0.00,3.13,12.77,0.00,0.00,0.00,24.06,135
28.73,0.94,4.24,2.56,11.17,18.76,0.00,25.30,7.44,21.87,0.00,0.87,32000.00,0.00,10.20,4.77,11.86,21.62,0.00,0.00,7.32,7.53,0.00,0.00,3.65,7.29,5.76,15.68,0.00,32000.00,0.00,22.72,135
32.32,2.78,6.10,0.00,16.71,23.08,0.00,19.94,12.58,29.70,0.00,0.00,0.00,0.00,11.92,7.51,13.49,30.56,0.00,0.00,3.27,4.01,0.00,0.00,2.75,96.39,5.22,18.26,1.57,0.00,0.00,26.54,270
44.53,0.00,6.38,5.97,20.65,28.18,0.00,28.09,15.11,31.31,0.00,43.81,0.00,0.00,26.36,15.95,8.01,16.36,0.00,0.00,3.99,4.71,0.00,0.00,5.35,3.38,3.44,12.37,2.53,2.04,0.00,15.33,0
12.24,0.00,3.32,0.00,7.78,5.22,0.00,11.38,7.42,13.30,0.00,0.00,0.00,0.00,3.14,3.43,5.93,12.70,0.00,0.00,0.00,0.82,0.00,0.00,1.13,0.00,8.61,7.36,0.00,0.00,0.00,13.10,270
17.93,6.31,4.84,2.05,9.50,11.45,0.00,20.70,4.82,21.50,0.00,927.54,0.00,0.00,6.87,2.19,15.93,19.85,0.00,0.00,0.00,1.58,0.00,0.00,1.96,0.00,0.00,14.78,0.00,0.00,0.00,23.42,135
24.33,0.97,6.71,615.38,10.00,16.75,0.00,19.18,10.42,25.95,0.00,0.00,0.00,0.00,8.92,8.85,9.13,18.33,0.00,0.00,0.00,6.65,0.00,0.00,3.47,3.94,3.55,6.80,3.94,0.00,0.00,19.95,90
37.63,1.73,5.98,3.05,16.01,18.01,0.00,26.64,10.98,34.71,3.83,3.60,0.00,0.00,18.31,12.57,14.82,22.72,0.00,0.00,2.80,4.08,0.00,0.00,3.08,3.10,1.90,11.86,0.00,2.07,2.05,21.73,270
22.06,0.00,123.79,0.00,9.32,17.79,0.00,13.14,9.67,15.72,0.00,0.00,0.00,0.00,10.53,8.04,12.43,18.37,0.00,0.00,0.00,695.65,14.85,0.00,45.33,0.00,1.83,8.41,0.00,0.00,0.00,13.93,135
29.95,2.84,12.71,3.02,13.38,21.34,0.00,20.24,11.85,22.62,13.09,0.00,0.00,0.00,17.00,11.56,4.99,11.25,0.00,0.00,0.00,1.21,0.00,0.00,37.31,0.00,0.00,5.47,0.00,0.00,0.00,8.94,180
46.64,2.35,7.55,5.58,24.74,30.06,0.00,20.28,21.33,25.96,0.00,0.00,0.00,0.00,19.11,11.55,4.87,13.40,0.00,0.00,6.47,11.13,0.00,0.00,5.33,0.00,13.89,7.69,0.00,0.00,0.00,14.36,225
47.06,1.99,6.88,0.00,21.51,34.10,0.00,25.30,23.43,27.93,0.00,6.84,0.00,0.00,21.90,13.72,8.51,10.64,0.00,0.00,4.40,3.56,0.00,0.00,3.72,0.00,6.60,3.72,0.00,0.00,0.00,9.42,225
31.89,0.00,3.91,0.00,17.88,23.97,0.00,18.82,20.41,31.33,0.00,0.00,0.00,0.00,4.85,4.66,5.75,12.14,0.00,0.00,3.27,0.00,0.00,0.00,0.00,0.00,0.00,5.19,0.00,0.00,0.00,9.93,45
11.81,0.00,4.82,0.00,7.64,9.76,0.00,8.04,5.19,13.44,0.00,0.00,0.00,0.00,4.00,0.00,3.51,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.00,7.02,0
25.29,0.00,4.74,0.00,9.11,11.35,0.00,25.05,11.49,31.71,0.00,0.00,0.00,0.00,5.51,3.63,6.74,17.06,0.00,0.00,0.00,0.00,0.00,0.00,2.43,1.29,0.00,8.07,1.41,0.94,0.00,18.97,315
19.23,0.00,14.28,0.00,5.93,8.69,0.00,7.69,7.50,7.95,0.00,0.00,0.00,0.00,8.21,9.73,14.15,9.49,0.00,0.00,0.00,0.00,0.00,0.00,13.52,0.00,0.00,2.15,0.00,0.00,0.00,9.69,315
